iter	Passed	Remaining
226	310	1056
227	310	1052
228	311	1049
229	312	1046
230	313	1043
231	313	1038
232	314	1033
233	315	1032
234	316	1028
235	316	1024
236	316	1019
237	317	1015
238	317	1010
239	318	1007
240	318	1003
241	318	998
242	319	993
243	319	990
244	319	985
245	320	981
246	320	976
247	320	972
248	320	968
249	321	963
250	321	960
251	322	956
252	322	952
253	323	949
254	323	946
255	324	942
256	325	939
257	325	935
258	325	931
259	326	928
260	326	925
261	327	922
262	327	918
263	327	914
264	328	911
265	329	908
266	329	905
267	329	901
268	330	898
269	331	895
270	331	891
271	331	888
272	332	884
273	332	881
274	333	878
275	333	875
276	334	872
277	334	869
278	335	866
279	335	863
280	336	860
281	336	857
282	337	854
283	337	850
284	338	848
285	338	845
286	339	842
287	339	840
288	340	837
289	340	833
290	341	831
291	342	830
292	343	827
293	343	825
294	344	822
295	344	819
296	344	816
297	345	813
298	345	811
299	346	808
300	347	806
301	347	803
302	348	800
303	348	797
304	348	794
305	349	792
306	349	789
307	350	787
308	351	785
309	351	782
310	351	779
311	352	777
312	352	774
313	353	772
314	354	769
315	354	767
316	354	764
317	355	762
318	356	760
319	357	759
320	358	758
321	359	756
322	360	754
323	360	752
324	361	750
325	361	748
326	362	745
327	363	743
328	363	741
329	364	739
330	364	737
331	365	734
332	365	732
333	366	730
334	366	728
335	367	726
336	368	724
337	368	722
338	369	719
339	369	717
340	370	716
341	371	714
342	372	712
343	372	711
344	373	709
345	374	707
346	374	705
347	375	703
348	376	701
349	377	700
350	377	698
351	378	696
352	378	694
353	379	692
354	380	691
355	381	689
356	382	688
357	382	686
358	383	684
359	383	682
360	384	680
361	385	678
362	385	676
363	386	675
364	387	673
365	388	672
366	388	670
367	389	668
368	389	666
369	390	664
370	391	663
371	391	661
372	392	659
373	392	657
374	393	655
375	394	653
376	394	652
377	395	650
378	395	648
379	396	646
380	396	644
381	397	643
382	398	641
383	398	639
384	399	637
385	399	635
386	400	634
387	400	632
388	401	630
389	402	629
390	403	628
391	404	627
392	405	626
393	406	624
394	407	623
395	407	621
396	408	620
397	409	619
398	409	617
399	410	615
400	411	614
401	411	612
402	412	611
403	413	609
404	414	608
405	414	606
406	415	604
407	415	603
408	416	601
409	416	600
410	417	598
411	418	597
412	419	595
413	419	593
414	420	592
415	420	590
416	421	589
417	422	587
418	422	586
419	423	584
420	423	582
421	424	581
422	424	579
423	425	578
424	426	576
425	426	574
426	427	573
427	427	571
428	428	570
429	428	568
430	429	567
431	430	565
432	430	564
433	431	562
434	431	561
435	432	559
436	433	558
437	434	557
438	435	555
439	435	554
440	436	553
441	436	551
442	437	550
443	438	548
444	438	546
445	439	545
446	439	543
447	440	542
448	440	541
449	441	539
450	442	538
451	442	536
452	443	535
453	443	533
454	444	532
455	444	530
456	445	529
457	446	527
458	446	526
459	447	525
460	448	523
461	448	522
462	449	521
463	450	520
464	451	519
465	451	517
466	452	516
467	453	515
468	454	514
469	454	512
470	455	511
471	456	510
472	456	509
473	457	507
474	458	506
475	458	504
476	459	503
477	459	502
478	460	500
479	460	499
480	461	497
481	462	496
482	462	495
483	463	493
484	464	493
485	465	492
486	466	491
487	467	490
488	467	489
489	468	487
490	469	486
491	469	485
492	470	484
493	471	482
494	471	481
495	472	480
496	473	478
497	473	477
498	474	476
499	474	474
500	475	473
501	476	472
502	476	471
503	477	469
504	477	468
505	478	467
506	479	466
507	480	465
508	480	463
509	481	462
510	481	461
511	482	459
512	483	458
513	483	457
514	484	456
515	484	454
516	485	453
517	486	452
518	486	451
519	487	449
520	487	448
521	488	447
522	489	446
523	489	444
524	490	443
525	490	442
526	491	440
527	491	439
528	492	438
529	493	437
530	493	435
531	494	434
532	495	434
533	496	433
534	497	432
535	498	431
536	499	430
537	500	429
538	501	428
539	501	427
540	502	426
541	503	425
542	504	424
543	504	423
544	505	421
545	506	420
546	506	419
547	507	418
548	508	417
549	508	416
550	509	415
551	510	414
552	510	413
553	511	412
554	512	411
555	513	409
556	513	408
557	514	407
558	515	406
559	515	405
560	516	404
561	517	402
562	517	401
563	518	400
564	518	399
565	519	398
566	520	397
567	520	396
568	521	395
569	522	393
570	522	392
571	523	391
572	524	390
573	524	389
574	525	388
575	526	387
576	527	386
577	527	385
578	528	384
579	528	382
580	529	381
581	530	380
582	530	379
583	531	378
584	532	377
585	532	376
586	533	375
587	533	374
588	534	373
589	535	371
590	535	370
591	536	369
592	537	368
593	537	367
594	538	366
595	538	365
596	539	364
597	540	363
598	541	362
599	542	361
600	542	360
601	543	359
602	544	358
603	544	357
604	545	355
605	545	354
606	546	353
607	547	352
608	547	351
609	548	350
610	549	349
611	549	348
612	550	347
613	550	346
614	551	345
615	552	344
616	552	343
617	553	342
618	554	341
619	555	340
620	556	339
621	556	338
622	557	337
623	558	336
624	558	335
625	559	334
626	560	333
627	560	332
628	561	331
629	562	330
630	562	329
631	563	328
632	564	327
633	564	325
634	565	324
635	565	323
636	566	322
637	567	321
638	567	320
639	568	319
640	568	318
641	569	317
642	570	316
643	571	315
644	572	314
645	572	313
646	573	312
647	573	311
648	574	310
649	575	309
650	575	308
651	576	307
652	576	306
653	577	305
654	578	304
655	578	303
656	579	302
657	580	301
658	580	300
659	581	299
660	582	298
661	582	297
662	583	296
663	584	295
664	584	294
665	585	293
666	586	292
667	587	292
668	588	291
669	588	290
670	589	289
671	590	288
672	590	287
673	591	286
674	591	285
675	592	284
676	593	283
677	593	282
678	594	281
679	595	280
680	595	279
681	596	278
682	597	277
683	597	276
684	598	275
685	599	274
686	599	273
687	600	272
688	601	271
689	602	270
690	603	269
691	604	268
692	604	267
693	605	267
694	606	266
695	606	265
696	607	264
697	608	263
698	608	262
699	609	261
700	610	260
701	610	259
702	611	258
703	612	257
704	612	256
705	613	255
706	614	254
707	614	253
708	615	252
709	616	251
710	617	250
711	617	249
712	618	248
713	618	247
714	619	246
715	620	245
716	620	245
717	621	244
718	621	243
719	622	242
720	623	241
721	623	240
722	624	239
723	624	238
724	625	237
725	625	236
726	626	235
727	627	234
728	627	233
729	628	232
730	628	231
731	629	230
732	630	229
733	631	228
734	632	227
735	632	227
736	633	226
737	634	225
738	634	224
739	635	223
740	635	222
741	636	221
742	636	220
743	637	219
744	638	218
745	638	217
746	639	216
747	639	215
748	640	214
749	640	213
750	641	212
751	642	211
752	642	210
753	643	209
754	643	208
755	644	207
756	644	207
757	645	206
758	646	205
759	647	204
760	647	203
761	648	202
762	649	201
763	649	200
764	650	199
765	651	198
766	651	198
767	652	197
768	653	196
769	653	195
770	654	194
771	655	193
772	656	192
773	656	191
774	657	190
775	658	189
776	658	189
777	659	188
778	659	187
779	660	186
780	661	185
781	662	184
782	662	183
783	663	182
784	663	181
785	664	180
786	665	179
787	665	179
788	666	178
789	666	177
790	667	176
791	668	175
792	668	174
793	669	173
794	669	172
795	670	171
796	670	170
797	671	169
798	672	169
799	672	168
800	673	167
801	673	166
802	674	165
803	674	164
804	675	163
805	676	162
806	677	161
807	678	161
808	678	160
809	679	159
810	680	158
811	680	157
812	681	156
813	681	155
814	682	154
815	683	154
816	683	153
817	684	152
818	684	151
819	685	150
820	685	149
821	686	148
822	687	147
823	687	146
824	688	145
825	688	145
826	689	144
827	689	143
828	690	142
829	691	141
830	691	140
831	693	139
832	693	139
833	694	138
834	695	137
835	695	136
836	696	135
837	696	134
838	697	133
839	698	132
840	698	132
841	699	131
842	699	130
843	700	129
844	700	128
845	701	127
846	702	126
847	702	125
848	703	125
849	703	124
850	704	123
851	705	122
852	705	121
853	706	120
854	707	119
855	707	119
856	708	118
857	709	117
858	709	116
859	710	115
860	710	114
861	711	113
862	712	113
863	712	112
864	713	111
865	713	110
866	714	109
867	714	108
868	715	107
869	716	107
870	716	106
871	717	105
872	717	104
873	718	103
874	718	102
875	719	101
876	720	100
877	720	100
878	721	99
879	721	98
880	722	97
881	723	96
882	724	95
883	725	95
884	725	94
885	726	93
886	726	92
887	727	91
888	728	90
889	728	90
890	729	89
891	729	88
892	730	87
893	730	86
894	731	85
895	732	84
896	732	84
897	733	83
898	733	82
899	734	81
900	734	80
901	735	79
902	736	79
903	736	78
904	737	77
905	738	76
906	738	75
907	739	74
908	740	74
909	740	73
910	741	72
911	742	71
912	742	70
913	743	69
914	743	69
915	744	68
916	744	67
917	745	66
918	746	65
919	746	64
920	747	64
921	747	63
922	748	62
923	748	61
924	749	60
925	750	59
926	750	59
927	751	58
928	751	57
929	752	56
930	753	55
931	754	55
932	755	54
933	756	53
934	756	52
935	757	51
936	758	50
937	758	50
938	759	49
939	759	48
940	760	47
941	760	46
942	761	46
943	762	45
944	762	44
945	763	43
946	763	42
947	764	41
948	765	41
949	765	40
950	766	39
951	766	38
952	767	37
953	768	37
954	768	36
955	769	35
956	770	34
957	770	33
958	771	32
959	772	32
960	772	31
961	773	30
962	773	29
963	774	28
964	775	28
965	775	27
966	776	26
967	776	25
968	777	24
969	778	24
970	778	23
971	779	22
972	779	21
973	780	20
974	780	20
975	781	19
976	782	18
977	782	17
978	783	16
979	784	16
980	785	15
981	786	14
982	786	13
983	787	12
984	787	11
985	788	11
986	789	10
987	789	9
988	790	8
989	790	7
990	791	7
991	792	6
992	792	5
993	793	4
994	793	3
995	794	3
996	794	2
997	795	1
998	796	0
999	796	0
