iter	RMSE
234	0.414598675
235	0.4142868181
236	0.4137022357
237	0.4115377917
238	0.4112690687
239	0.4097178935
240	0.4090184748
241	0.4087397011
242	0.4084674397
243	0.407322519
244	0.4070841639
245	0.4068277199
246	0.4065772586
247	0.4063542289
248	0.4061360081
249	0.4059011051
250	0.4039006165
251	0.4024914181
252	0.4020397639
253	0.4001999227
254	0.3985891275
255	0.3973432148
256	0.3955918118
257	0.395382491
258	0.3951780858
259	0.3949784756
260	0.3945835769
261	0.393478956
262	0.3932918546
263	0.3931091289
264	0.3919341125
265	0.3905797003
266	0.3886703037
267	0.3884993111
268	0.3875118059
269	0.3861562857
270	0.3858377801
271	0.3841213623
272	0.3839790972
273	0.383676826
274	0.3821813469
275	0.3806966126
276	0.37974571
277	0.3789848966
278	0.3782695006
279	0.3766952285
280	0.3758785828
281	0.3757435914
282	0.3742320683
283	0.3741016534
284	0.3728979429
285	0.3716767944
286	0.3705287752
287	0.3700834612
288	0.3690990721
289	0.368980896
290	0.3684049224
291	0.3673408396
292	0.3672389519
293	0.3657051248
294	0.3646773683
295	0.3645700836
296	0.3644653538
297	0.3634430763
298	0.3624389955
299	0.362034716
300	0.3610848634
301	0.3598572923
302	0.3587779853
303	0.3586827976
304	0.358589893
305	0.3579669887
306	0.3566439954
307	0.3549400125
308	0.3539470643
309	0.3538592089
310	0.3526336891
311	0.3510465429
312	0.3509627713
313	0.3501281597
314	0.3492895946
315	0.3490172683
316	0.3481565512
317	0.3474735168
318	0.3465776667
319	0.3454314506
320	0.3442545585
321	0.3432924601
322	0.342064256
323	0.3417224923
324	0.3405228439
325	0.3395073633
326	0.3386911917
327	0.3378967806
328	0.3365813607
329	0.3351918131
330	0.3347107901
331	0.3333964765
332	0.3330154472
333	0.3324816277
334	0.331880033
335	0.3309008324
336	0.3301605437
337	0.3288884766
338	0.3280349499
339	0.3268781839
340	0.3256797101
341	0.3246428494
342	0.3239243055
343	0.3231271136
344	0.3223191334
345	0.3213958849
346	0.3204418546
347	0.3201873661
348	0.3193189411
349	0.3183945926
350	0.3177559562
351	0.3177076646
352	0.3170691956
353	0.3164677992
354	0.3156219662
355	0.3148819606
356	0.3137081448
357	0.3132164622
358	0.3125959677
359	0.3112610738
360	0.3108381694
361	0.3104187428
362	0.3091291752
363	0.3082491378
364	0.3080132059
365	0.3077826968
366	0.3075574737
367	0.3071718828
368	0.3060491007
369	0.3054168913
370	0.3047720399
371	0.3039189676
372	0.303440233
373	0.3030277782
374	0.3017551232
375	0.300959499
376	0.3001355635
377	0.2989656998
378	0.2980792107
379	0.2967615646
380	0.296058079
381	0.2949706858
382	0.2940247486
383	0.2927807451
384	0.291640924
385	0.2903397033
386	0.2898462067
387	0.289352781
388	0.2886827466
389	0.2877865666
390	0.287041966
391	0.2860590188
392	0.2851983536
393	0.2844635093
394	0.2836517994
395	0.2830353014
396	0.2820806046
397	0.2812671129
398	0.2803160029
399	0.2797896617
400	0.2790753246
401	0.2783611968
402	0.2776063583
403	0.2769389754
404	0.2763667975
405	0.2754014485
406	0.2747085058
407	0.2742470697
408	0.273784095
409	0.2733942175
410	0.272273204
411	0.2714131783
412	0.2709630132
413	0.2702796251
414	0.269990903
415	0.2692964166
416	0.2685505224
417	0.2678176119
418	0.2674585877
419	0.2662947419
420	0.2654620676
421	0.2650901841
422	0.2643756881
423	0.2638674394
424	0.2633176725
425	0.2622596938
426	0.2617535348
427	0.2607752341
428	0.260399879
429	0.25963577
430	0.2593244699
431	0.2589022812
432	0.2585767489
433	0.2580715988
434	0.2572212717
435	0.2562155893
436	0.2554912463
437	0.2549897758
438	0.254253459
439	0.2533655647
440	0.2529250921
441	0.2524727673
442	0.2520729553
443	0.2516626079
444	0.2507470235
445	0.2502436293
446	0.2498695629
447	0.2490362021
448	0.2482597849
449	0.2475928462
450	0.2467355966
451	0.2463871501
452	0.2458893614
453	0.24505962
454	0.2448659291
455	0.2445185056
456	0.2442087964
457	0.2437174926
458	0.2433717742
459	0.2429410621
460	0.2424699236
461	0.2416623699
462	0.2411640407
463	0.2409266811
464	0.2403407796
465	0.2396378212
466	0.2388786797
467	0.2384971261
468	0.2380372686
469	0.2376500647
470	0.2373357485
471	0.2365790734
472	0.2360765651
473	0.235783794
474	0.235013303
475	0.2342386179
476	0.2335337201
477	0.2329355514
478	0.232418075
479	0.2317807808
480	0.2311860739
481	0.2307131078
482	0.2303783196
483	0.2298777044
484	0.2293961631
485	0.2290806685
486	0.228601551
487	0.2279118419
488	0.2275770658
489	0.2269397383
490	0.2262744647
491	0.225705401
492	0.2251683865
493	0.2245387759
494	0.2243741818
495	0.2236543251
496	0.223009558
497	0.2226927853
498	0.2224064705
499	0.22204325
500	0.2218386852
501	0.2214913734
502	0.2207692843
503	0.2200497017
504	0.2193938167
505	0.2188536537
506	0.2182719626
507	0.217809876
508	0.2176697245
509	0.2173950184
510	0.2169176413
511	0.2167421843
512	0.2164765754
513	0.2161263079
514	0.2158845883
515	0.2154088658
516	0.2149277229
517	0.2145319801
518	0.2142891617
519	0.213845596
520	0.2132232214
521	0.2129023598
522	0.2126721471
523	0.2121991304
524	0.2119718201
525	0.2114982246
526	0.2112835269
527	0.2106689859
528	0.210012805
529	0.2097790778
530	0.2095392245
531	0.2090304353
532	0.2087184851
533	0.208131284
534	0.2077015769
535	0.2074909154
536	0.2072239585
537	0.2066797086
538	0.2063601931
539	0.2057161517
540	0.2052709862
541	0.2049901996
542	0.20444603
543	0.2040208031
544	0.2037239796
545	0.203584374
546	0.2031650853
547	0.202819521
548	0.2023642179
549	0.2020590071
550	0.2015815758
551	0.2012778803
552	0.2007946308
553	0.2000987326
554	0.1998122642
555	0.1992161454
556	0.1989031549
557	0.1985647917
558	0.1980160639
559	0.1976847387
560	0.197115344
561	0.1967343275
562	0.1963612109
563	0.1959838401
564	0.1956758112
565	0.1953737247
566	0.1948823623
567	0.1943262344
568	0.1938837606
569	0.1935460218
570	0.1932381719
571	0.1931187991
572	0.1926446269
573	0.1924142654
574	0.1919254866
575	0.1914435231
576	0.1911521764
577	0.1907157631
578	0.1901424432
579	0.1898735236
580	0.189401195
581	0.1891444253
582	0.1886430768
583	0.1883730932
584	0.1881345362
585	0.1877267329
586	0.1873124158
587	0.1870194177
588	0.186544789
589	0.1862083033
590	0.1859634882
591	0.1855282598
592	0.1853033088
593	0.1851425358
594	0.1847251355
595	0.1844560508
596	0.1840764078
597	0.1835431106
598	0.1833269049
599	0.1829046962
600	0.1825024278
601	0.1820191164
602	0.1816910292
603	0.1813589753
604	0.1809845881
605	0.1808001145
606	0.1804131434
607	0.1799509701
608	0.1795937542
609	0.1792939413
610	0.1788969014
611	0.1787100115
612	0.1782567035
613	0.178054508
614	0.1778388364
615	0.1777075704
616	0.177470167
617	0.1771356008
618	0.1767044139
619	0.176481214
620	0.1761674485
621	0.1758584898
622	0.1753511764
623	0.1751009124
624	0.1746979399
625	0.1744526374
626	0.1740773369
627	0.1736733227
628	0.1732837292
629	0.1731474639
630	0.1727722217
631	0.1723615997
632	0.171995394
633	0.1717893468
634	0.1714863236
635	0.1712828976
636	0.1712106662
637	0.1708804456
638	0.1704461989
639	0.1701803565
640	0.1698342059
641	0.1696508642
642	0.1691859073
643	0.1688253586
644	0.1685264101
645	0.1683163074
646	0.1681507071
647	0.1678694157
648	0.1676640794
649	0.1674549172
650	0.1671175817
651	0.166997786
652	0.1666830638
653	0.1663750027
654	0.1660391054
655	0.1657891576
656	0.1655447237
657	0.1653422728
658	0.164957206
659	0.1646269742
660	0.1643602618
661	0.1642084258
662	0.1639893004
663	0.1638408225
664	0.1635095613
665	0.1634091751
666	0.1632000862
667	0.1630840702
668	0.1627528786
669	0.1624939298
670	0.1623393533
671	0.1619703806
672	0.1617191895
673	0.1615059486
674	0.1612462756
675	0.1609383429
676	0.1607079315
677	0.1605128453
678	0.1602054749
679	0.159865996
680	0.1594964872
681	0.159216774
682	0.1590203746
683	0.1588540997
684	0.1587305639
685	0.1584891734
686	0.1582466598
687	0.1581052059
688	0.1577748354
689	0.1573930303
690	0.157263145
691	0.1571152583
692	0.1568133717
693	0.1565182486
694	0.1562070943
695	0.1558478183
696	0.1556142802
697	0.1554196245
698	0.1550958809
699	0.1547515416
700	0.1545974205
701	0.1543193428
702	0.1540450158
703	0.1537936603
704	0.1534421306
705	0.1531292349
706	0.1530187412
707	0.1527619728
708	0.1525380907
709	0.1522546805
710	0.1521611115
711	0.1520080295
712	0.1518727557
713	0.1516623074
714	0.1513190258
715	0.1511435612
716	0.1508546242
717	0.1505265324
718	0.1501909422
719	0.1500194919
720	0.149838557
721	0.1496951051
722	0.1495780988
723	0.1494250221
724	0.1493047589
725	0.1490657363
726	0.1489394776
727	0.1488101618
728	0.1484234947
729	0.1481079554
730	0.1479721531
731	0.1477994008
732	0.1476276155
733	0.1475286093
734	0.1473365164
735	0.1471339025
736	0.1468523449
737	0.1466669982
738	0.1464782718
739	0.1464164884
740	0.1461892619
741	0.1460647631
742	0.1459538609
743	0.1456916804
744	0.1453457368
745	0.1452536562
746	0.1451212061
747	0.1449786151
748	0.1446344423
749	0.144509317
750	0.1442493717
751	0.1438929385
752	0.1437759046
753	0.143424992
754	0.1432515026
755	0.1430442606
756	0.1428704605
757	0.1426691263
758	0.1423479675
759	0.1421808108
760	0.1420601927
761	0.1418000062
762	0.1416888814
763	0.1413988942
764	0.1411899743
765	0.1408250676
766	0.1404981588
767	0.1403007365
768	0.1400601423
769	0.1397859894
770	0.1395765474
771	0.1394029173
772	0.1390695335
773	0.1387884405
774	0.1386211605
775	0.1384583615
776	0.1381421336
777	0.1379078946
778	0.1376055278
779	0.1374327704
780	0.1371764407
781	0.1370292824
782	0.1369169739
783	0.1367114484
784	0.1364428537
785	0.1362149893
786	0.1360723581
787	0.1357744658
788	0.1356303766
789	0.1354534508
790	0.1353584624
791	0.1351783568
792	0.1349925115
793	0.1347576776
794	0.134618854
795	0.1343993518
796	0.1342621634
797	0.1340416764
798	0.1338549372
799	0.1336648669
800	0.1336206836
801	0.1334490522
802	0.1332259764
803	0.1329899499
804	0.1328437363
805	0.13260094
806	0.1324062865
807	0.1321623084
808	0.1319989098
809	0.1319032631
810	0.1316927626
811	0.13155906
812	0.1313860382
813	0.1312866473
814	0.1310425311
815	0.1308535758
816	0.1306839796
817	0.130533092
818	0.1303468431
819	0.1301077582
820	0.1300941189
821	0.1299935743
822	0.129770265
823	0.1295096431
824	0.1292802346
825	0.1290603325
826	0.1289492086
827	0.1288255946
828	0.1287007982
829	0.1285975472
830	0.1283270179
831	0.1281517455
832	0.1280012651
833	0.1278218161
834	0.1276867943
835	0.1275111161
836	0.1273452291
837	0.1271312296
838	0.1269444184
839	0.1268517823
840	0.1266301515
841	0.1264975023
842	0.1263106318
843	0.126156468
844	0.1259803621
845	0.1258011026
846	0.1255590123
847	0.1254448774
848	0.1253272153
849	0.125173215
850	0.1250264987
851	0.1248342739
852	0.1247607773
853	0.1245175731
854	0.1243346538
855	0.1242728166
856	0.1239911817
857	0.1238080728
858	0.1235932008
859	0.123415213
860	0.1232014594
861	0.1230360215
862	0.122895359
863	0.1228553785
864	0.1226585125
865	0.1224962987
866	0.1222722883
867	0.1220736423
868	0.1218944736
869	0.1216998788
870	0.1214513842
871	0.1212829596
872	0.1211852731
873	0.1210700256
874	0.1209021619
875	0.120853383
876	0.1207378253
877	0.1205792588
878	0.1205071517
879	0.1203467548
880	0.1201640662
881	0.1199832508
882	0.1198178586
883	0.119638116
884	0.1193884651
885	0.1193194714
886	0.1191805408
887	0.1190335448
888	0.1188708172
889	0.1187314143
890	0.1185706231
891	0.1184941091
892	0.118383683
893	0.1183161498
894	0.1181587051
895	0.1180512764
896	0.1178997899
897	0.1177658836
898	0.1175467643
899	0.1173861418
900	0.1172993851
901	0.1171926049
902	0.1171342565
903	0.1169820235
904	0.1168013429
905	0.1165823979
906	0.1164320559
907	0.1163031382
908	0.1161570658
909	0.1160107257
910	0.1159298885
911	0.115796418
912	0.1156908078
913	0.1155154991
914	0.1153927007
915	0.1152365307
916	0.1151596385
917	0.1149953418
918	0.1148854351
919	0.1147096775
920	0.1145874188
921	0.1144060607
922	0.1142769628
923	0.1141967522
924	0.1140965581
925	0.1140220434
926	0.113891677
927	0.1138527956
928	0.1137828046
929	0.1136480181
930	0.1134201908
931	0.1133645631
932	0.1131497488
933	0.1129503686
934	0.1128415499
935	0.1128055749
936	0.1126641661
937	0.1124842671
938	0.1123187089
939	0.1121838603
940	0.1120721135
941	0.11194957
942	0.1118599309
943	0.1117273925
944	0.1115832238
945	0.111439748
946	0.1112577069
947	0.1111603017
948	0.1110400999
949	0.1108378839
950	0.110655564
951	0.1105378181
952	0.1104442491
953	0.1103621699
954	0.1102277242
955	0.1100705534
956	0.1098604346
957	0.109709597
958	0.1096079566
959	0.1094398408
960	0.1093514183
961	0.1092642605
962	0.109129145
963	0.1089256554
964	0.1088673282
965	0.1087729881
966	0.1087083106
967	0.1085661862
968	0.1084092067
969	0.1083365165
970	0.1083274871
971	0.1081979758
972	0.1081337981
973	0.1080634577
974	0.1079025534
975	0.1077956235
976	0.1076836791
977	0.1076196257
978	0.1074533926
979	0.1072986907
980	0.1071925072
981	0.1070147351
982	0.1068681471
983	0.1066615939
984	0.1065582426
985	0.1064225657
986	0.1063629165
987	0.1062248523
988	0.1061117832
989	0.1059998955
990	0.105951778
991	0.1058129632
992	0.1056408334
993	0.1054712416
994	0.1053280698
995	0.1051894208
996	0.1050365891
997	0.1049430658
998	0.1048353453
999	0.1047062109
